,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
2,Hyundai Grand i10,Hyundai,2014,"3,25,000",28000,Petrol
3,Ford EcoSport Titanium,Ford,2014,"5,75,000",36000,Diesel
4,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
5,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
6,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
7,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
8,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
10,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000",48660,Diesel
12,Hyundai Santro Xing,Hyundai,2007,"80,000",45000,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40,Diesel
14,Audi A8,Audi,2017,"10,00,000",4000,Petrol
15,Audi Q7,Audi,2014,"5,00,000",16934,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
17,Maruti Suzuki Alto,Maruti,2014,"1,60,000",35550,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000",43000,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,"3,10,000",39522,Diesel
20,Maruti Suzuki Alto,Maruti,2015,"75,000",39000,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000",55000,Petrol
24,Maruti Suzuki Alto,Maruti,2017,"1,90,000",72000,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,"2,90,000",15975,Diesel
26,Maruti Suzuki Alto,Maruti,2008,"95,000",70000,Petrol
27,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
28,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
30,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
33,Toyota Innova 2.0,Toyota,2012,"6,50,000",82000,Diesel
34,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
35,Skoda Yeti Ambition,Skoda,2012,"4,48,000",68000,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,"5,49,000",32000,Diesel
37,Renault Duster 110,Renault,2012,"5,01,000",38000,Diesel
38,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
39,Honda City 1.5,Honda,2011,"2,80,000",33000,Petrol
40,Maruti Suzuki Alto,Maruti,2015,"2,50,000",60000,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,"3,49,999",46000,Diesel
42,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
43,Honda Amaze 1.5,Honda,2015,"3,45,000",36000,Diesel
44,Honda City,Honda,2015,"4,99,999",55000,Petrol
45,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
46,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
48,Mahindra Bolero DI,Mahindra,2017,"1,80,000",23452,Diesel
49,Maruti Suzuki Swift,Maruti,2014,"3,85,000",35522,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,"2,50,000",48508,Diesel
51,Maruti Suzuki Swift,Maruti,2017,"1,80,000",15487,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,"1,05,000",39000,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,"3,95,000",35000,Diesel
55,Maruti Suzuki Swift,Maruti,2017,"2,20,000",30874,Petrol
56,Honda City ZX,Honda,2017,"1,70,000",15000,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,"85,000",29685,Petrol
58,Ford Figo,Ford,2012,"1,75,000",41000,Diesel
59,Hyundai Eon,Hyundai,2013,"1,90,000",25000,Petrol
60,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
61,Ford EcoSport Ambiente,Ford,2016,"8,30,000",24530,Diesel
62,Tata Indigo eCS,Tata,2017,"2,00,000",130000,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,"5,70,000",19000,Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,"3,15,000",60000,Petrol
65,Skoda Fabia Classic,Skoda,2010,"1,82,000",60000,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,"3,15,000",30000,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,"1,10,000",41000,Petrol
68,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
69,Honda City,Honda,2015,"4,48,999",54000,Petrol
70,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
71,Datsun Redi GO,Datsun,2017,"2,35,000",16000,Petrol
72,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel
73,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
74,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
75,Renault Duster,Renault,2014,"4,49,999",50000,Diesel
76,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol
77,Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel
79,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
80,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
81,Honda Brio,Honda,2012,"2,24,999",30000,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,"12,00,000",3600,Diesel
83,Hyundai i20 Magna,Hyundai,2009,"1,95,000",32000,Petrol
84,Toyota Corolla Altis,Toyota,2010,"3,51,000",38000,Diesel
85,Hyundai Verna Transform,Hyundai,2008,"1,60,000",45000,Petrol
86,Toyota Corolla Altis,Toyota,2009,"2,40,000",35000,Petrol
87,Honda City 1.5,Honda,2005,"90,000",50000,Petrol
88,Hyundai Elite i20,Hyundai,2014,"4,15,000",32000,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,"1,55,000",45863,Diesel
90,BMW 3 Series,BMW,2011,"6,00,000",60500,Petrol
91,Maruti Suzuki A,Maruti,2011,"1,89,500",12500,Petrol
92,Toyota Etios GD,Toyota,2013,"3,50,000",60000,Diesel
93,Ford Figo Diesel,Ford,2012,"2,10,000",35000,Diesel
94,Maruti Suzuki Swift,Maruti,2014,"3,90,000",35000,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,"1,35,000",45000,Diesel
96,BMW 7 Series,BMW,2009,"16,00,000",35000,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,"7,01,000",38000,Diesel
98,Hyundai i10 Magna,Hyundai,2014,"2,65,000",18000,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,"5,25,000",35000,Diesel
100,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,"6,35,000",29000,Petrol
102,Ford EcoSport Titanium,Ford,2014,"5,50,000",44000,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,"5,75,000",29000,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",42000,Diesel
105,Maruti Suzuki Alto,Maruti,2012,"1,55,000",14000,Petrol
106,Hyundai Grand i10,Hyundai,2014,"3,45,000",49000,Diesel
107,Honda Amaze 1.2,Honda,2014,"3,25,000",42000,Petrol
108,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel
109,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,"69,999",51000,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel
116,Maruti Suzuki Swift,Maruti,2013,"3,72,000",13349,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,"4,50,000",104000,Diesel
118,Toyota Etios Liva,Toyota,2014,"2,70,000",55000,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,"3,50,000",33333,Diesel
120,Chevrolet Spark,Chevrolet,2012,"1,58,400",33600,Petrol
121,Maruti Suzuki Alto,Maruti,2017,"3,50,000",5600,Petrol
122,Nissan Micra XV,Nissan,2011,"1,79,000",41000,Petrol
123,Maruti Suzuki Swift,Maruti,2007,"1,25,000",70000,Petrol
124,Maruti Suzuki Alto,Maruti,2018,"2,00,000",7500,Petrol
125,Honda Amaze 1.5,Honda,2013,"2,99,000",45000,Diesel
126,Maruti Suzuki Alto,Maruti,2015,"2,20,000",38000,Petrol
127,Chevrolet Beat,Chevrolet,2015,"1,50,000",30000,Petrol
128,Toyota Corolla,Toyota,2009,"2,75,000",26000,
129,Honda City 1.5,Honda,2010,"2,85,000",35000,Petrol
130,Ford EcoSport Trend,Ford,2016,"8,30,000",24330,Diesel
131,Hyundai i20 Asta,Hyundai,2009,"2,10,000",65480,Petrol
132,Maruti Suzuki Swift,Maruti,2013,"3,40,000",41000,Petrol
133,Tata Indica V2,Tata,2006,"90,000",20000,Petrol
134,Hindustan Motors Ambassador,Hindustan,2000,"70,000",200000,Diesel
135,Toyota Corolla Altis,Toyota,2010,"2,89,999",70000,Petrol
136,Toyota Corolla Altis,Toyota,2012,"3,49,999",59000,Petrol
137,Toyota Innova 2.5,Toyota,2012,"8,49,999",99000,Diesel
138,Volkswagen Jetta Highline,Volkswagen,2014,"7,49,999",46000,Diesel
139,Volkswagen Polo Comfortline,Volkswagen,2015,"3,99,999",2800,Petrol
140,Volkswagen Polo,Volkswagen,2014,"2,74,999",32000,Petrol
141,Mahindra Scorpio,Mahindra,2015,"9,84,999",22000,Diesel
142,Renault Duster,Renault,2014,"4,49,999",50000,Diesel
143,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
144,Nissan Sunny,Nissan,2012,"2,24,999",45000,Petrol
145,Hyundai Elite i20,Hyundai,2018,"5,99,999",21000,Petrol
146,Renault Kwid,Renault,2016,"2,44,999",11000,Petrol
147,Renault Duster,Renault,2013,"3,99,999",41000,Diesel
148,Ford EcoSport,Ford,2017,"4,89,999",39000,Petrol
149,Renault Duster,Renault,2014,"4,74,999",50000,Diesel
150,Mahindra Scorpio VLX,Mahindra,2011,"4,99,999",66000,Diesel
151,Maruti Suzuki Alto,Maruti,2018,"3,10,000",3000,Petrol
152,Chevrolet Spark LT,Chevrolet,2010,"85,000",45000,Petrol
153,Datsun Redi GO,Datsun,2016,"2,45,000",7000,Petrol
154,Maruti Suzuki Swift,Maruti,2010,"1,89,500",38500,Diesel
155,Fiat Punto Emotion,Fiat,2012,"1,69,500",37200,Diesel
156,Maruti Suzuki Swift,Maruti,2010,"1,59,500",43200,Diesel
157,Toyota Etios GD,Toyota,2013,"2,75,000",24800,Petrol
158,Hyundai i20 Sportz,Hyundai,2014,"3,70,000",60000,Diesel
159,Hyundai i10 Sportz,Hyundai,2010,"1,68,000",45872,Petrol
160,Chevrolet Beat LT,Chevrolet,2011,"1,50,000",40000,Diesel
161,Chevrolet Beat LS,Chevrolet,2011,"1,45,000",45000,Diesel
162,Chevrolet Beat LT,Chevrolet,2012,"98,500",38000,Diesel
163,Mahindra Scorpio VLX,Mahindra,2014,"6,99,000",50000,Diesel
164,Tata Indigo CS,Tata,2011,"85,000",11400,Diesel
165,Toyota Corolla Altis,Toyota,2015,"5,75,000",42000,Petrol
166,Honda City 1.5,Honda,2014,"5,49,000",39000,Petrol
167,Maruti Suzuki Swift,Maruti,2011,"2,09,000",47000,Diesel
168,Hyundai Eon Era,Hyundai,2013,"1,85,000",27000,Petrol
169,Mahindra Scorpio S10,Mahindra,2015,"9,00,000",97200,Diesel
170,Mahindra XUV500,Mahindra,2014,"6,99,999",52000,Diesel
171,Honda Brio,Honda,2012,"2,24,999",30000,Petrol
172,Ford Fiesta,Ford,2011,"2,74,999",55000,Diesel
173,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
174,Honda City,Honda,2015,"5,99,999",30000,Diesel
175,Maruti Suzuki Wagon,Maruti,2012,"1,99,999",44000,Petrol
176,Honda City,Honda,2014,"5,44,999",45000,Diesel
177,Hyundai i20,Hyundai,2009,"1,99,000",31000,Petrol
178,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel
179,Hyundai Fluidic Verna,Hyundai,2015,"5,40,000",38000,Diesel
180,Mahindra Quanto C8,Mahindra,2013,"3,40,000",37000,Diesel
181,Fiat Petra ELX,Fiat,2008,"75,000",65000,Petrol
182,Skoda Fabia 1.2L,Skoda,2011,"1,59,500",38200,Diesel
183,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
184,Hyundai Santro Xing,Hyundai,2005,"49,000",7500,Petrol
185,Maruti Suzuki Ciaz,Maruti,2016,"7,00,000",3350,Petrol
186,Maruti Suzuki Zen,Maruti,2000,"55,000",60000,Petrol
187,Honda City,Honda,2015,"4,48,999",54000,Petrol
188,Hyundai Creta 1.6,Hyundai,2017,"8,95,000",32000,Petrol
189,Mahindra Scorpio SLX,Mahindra,2007,"3,55,000",75000,Diesel
190,Mahindra Scorpio SLE,Mahindra,2012,"5,65,000",62000,Diesel
191,Toyota Innova 2.5,Toyota,2006,"3,65,000",73000,Diesel
192,Maruti Suzuki Alto,Maruti,2011,"1,45,000",41000,Petrol
193,Maruti Suzuki Wagon,Maruti,2011,"2,10,000",35000,Petrol
194,Tata Nano Cx,Tata,2013,"40,000",2200,Petrol
195,Maruti Suzuki Alto,Maruti,2013,"1,25,000",39000,Petrol
196,Maruti Suzuki Wagon,Maruti,2009,"1,35,000",45000,Petrol
197,Maruti Suzuki Swift,Maruti,2006,"1,35,000",45000,Petrol
198,Tata Sumo Victa,Tata,2012,"2,85,000",65000,Diesel
199,Maruti Suzuki Wagon,Maruti,2010,"1,45,000",54870,Petrol
200,Maruti Suzuki Alto,Maruti,2010,"1,35,000",34580,Petrol
201,Volkswagen Passat Diesel,Volkswagen,2009,"4,50,000",97000,Diesel
202,Renault Scala RxL,Renault,2015,"3,75,000",25000,Diesel
203,Mahindra Quanto C8,Mahindra,2013,"3,75,000",20000,Diesel
204,Hyundai Grand i10,Hyundai,2014,"3,65,000",20000,Petrol
205,Hyundai i20 Active,Hyundai,2015,"5,00,000",18000,Petrol
206,Mahindra Xylo E4,Mahindra,2012,"4,00,000",35000,Diesel
207,Mahindra Jeep MM,Mahindra,2019,"3,90,000",60,Diesel
208,Renault Duster 110PS,Renault,2012,"5,01,000",35000,Diesel
209,Mahindra Bolero SLE,Mahindra,2013,"3,30,000",80200,Diesel
210,Force Motors Force,Force,2015,"5,80,000",3200,Diesel
211,Maruti Suzuki SX4,Maruti,2012,"2,65,000",46000,Diesel
212,Mahindra Jeep CL550,Mahindra,2019,"3,79,000",0,Diesel
213,Maruti Suzuki Alto,Maruti,2015,"2,19,000",5000,Petrol
214,Mahindra Jeep CL550,Mahindra,2018,"3,85,000",588,Diesel
215,Toyota Etios,Toyota,2011,"2,75,000",36000,Diesel
216,Volkswagen Polo,Volkswagen,2015,"3,30,000",38000,Diesel
217,Honda City ZX,Honda,2008,"1,10,000",45000,Petrol
218,Maruti Suzuki Wagon,Maruti,2006,"80,000",71200,Petrol
219,Honda City VX,Honda,2016,"5,19,000",52000,Diesel
220,Mahindra Thar CRDe,Mahindra,2016,"7,30,000",29000,Diesel
221,Mitsubishi Pajero Sport,Mitsubishi,2015,"14,75,000",47000,Diesel
222,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol
223,Mercedes Benz GLA,Mercedes,2015,"20,00,000",20000,Diesel
224,Land Rover Freelander,Land,2015,"21,00,000",30000,Diesel
225,Renault Kwid RXT,Renault,2017,"3,40,000",5000,Petrol
226,Tata Aria Pleasure,Tata,2014,"3,90,000",35000,Diesel
227,Mercedes Benz B,Mercedes,2014,"14,00,000",31000,Petrol
228,Datsun GO T,Datsun,2016,"2,45,000",7000,Petrol
229,Tata Indigo eCS,Tata,2016,"3,20,000",175430,Diesel
230,Tata Indigo eCS,Tata,2016,"3,20,000",175400,Diesel
231,Honda Jazz VX,Honda,2016,"4,50,000",41000,Petrol
232,Honda Amaze 1.2,Honda,2014,"3,11,000",33000,Petrol
233,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
234,Honda City,Honda,2012,"3,99,999",45000,Petrol
235,Honda City,Honda,2015,"5,99,999",39000,Diesel
236,Honda Amaze,Honda,2015,"3,44,999",22000,Petrol
237,Audi A4 1.8,Audi,2009,"6,99,000",47000,Petrol
238,Force Motors Force,Force,2015,"5,80,000",3200,Diesel
239,Mahindra Scorpio S4,Mahindra,2015,"8,55,000",30000,Diesel
240,Hyundai i20 Active,Hyundai,2015,"5,35,000",37000,Diesel
241,Mini Cooper S,Mini,2013,"18,91,111",13000,Petrol
242,Maruti Suzuki Ciaz,Maruti,2017,"6,99,000",14000,Petrol
243,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000",55000,Diesel
244,Honda Amaze,Honda,2013,"2,84,999",46000,Diesel
245,Hyundai Eon Sportz,Hyundai,2012,"1,78,000",30000,Petrol
246,Tata Sumo Gold,Tata,2013,"3,00,000",50000,Diesel
247,Maruti Suzuki Wagon,Maruti,2003,"90,000",45000,Petrol
248,Maruti Suzuki Esteem,Maruti,2006,"95,000",45000,Petrol
249,Maruti Suzuki Eeco,Maruti,2015,"2,55,000",9300,Petrol
250,Chevrolet Enjoy 1.4,Chevrolet,2013,"2,45,000",55000,Diesel
251,Hyundai i20 Asta,Hyundai,2012,"3,29,500",36200,Diesel
252,Ford Figo Diesel,Ford,2014,"1,95,000",50000,Diesel
253,Maruti Suzuki Eeco,Maruti,2015,"2,51,111",55000,Petrol
254,Maruti Suzuki Ertiga,Maruti,2014,"5,69,999",45000,Petrol
255,Maruti Suzuki Esteem,Maruti,2007,"69,999",51000,Petrol
256,Maruti Suzuki Ritz,Maruti,2014,"2,99,999",19000,Petrol
257,Maruti Suzuki Dzire,Maruti,2009,"2,20,000",46000,Petrol
258,Maruti Suzuki Ritz,Maruti,2013,"3,99,999",33000,Diesel
259,Maruti Suzuki SX4,Maruti,2010,"2,49,999",36000,Petrol
260,Maruti Suzuki Wagon,Maruti,2015,"2,89,999",22000,Petrol
261,Mini Cooper S,Mini,2013,"18,91,111",13500,Petrol
262,Nissan Terrano XL,Nissan,2015,"4,99,999",60000,Diesel
263,Renault Duster 85,Renault,2013,"4,89,999",27000,Diesel
264,Renault Duster 85,Renault,2014,"4,89,999",59000,Diesel
265,Renault Duster 85,Renault,2015,"5,49,999",19000,Diesel
266,Maruti Suzuki Dzire,Maruti,2013,"3,80,000",30000,Petrol
267,Renault Kwid RXT,Renault,2018,"3,25,000",15000,Petrol
268,Maruti Suzuki Maruti,Maruti,2003,"57,000",56758,Petrol
269,Renault Kwid 1.0,Renault,2018,"3,49,999",10000,Petrol
270,Renault Lodgy 85,Renault,2018,"6,89,999",20000,Diesel
271,Renault Scala RxL,Renault,2014,"3,49,999",49000,Diesel
272,Hyundai Grand i10,Hyundai,2014,"4,10,000",41000,Petrol
